id,nom,desserte,pmr,ascenseur,escalator,gid,coordinates0,coordinates1,commune_gid
42434,Descartes,37 & 69 & C17,true,false,false,9808,45.77630793298136,4.872633213457057,159
46171,Descartes - Foch,S9,false,false,false,5137,45.6882231074049,4.787320959737992,163
46172,Descartes - Foch,S9,false,false,false,5136,45.68850686941893,4.787351565766161,163
32160,Desgenettes,T2 & T5,true,false,false,9045,45.73879856433351,4.893253579952978,85
32161,Desgenettes,T2 & T5,true,false,false,9046,45.738863144241655,4.893295274001932,85
47309,Desgenettes,T6,true,false,false,10073,45.739573219057455,4.892451401731025,85
47310,Desgenettes,T6,true,false,false,10074,45.73954819053314,4.892384420274404,85
751,Desgrand,37,true,false,false,1319,45.785605696354466,4.904830229360353,171
752,Desgrand,37,true,false,false,1318,45.78536968393887,4.906117134150309,171
45836,Deux Fermes,60,true,false,false,4564,45.69145963845163,4.861050556110579,160
45837,Deux Fermes,60,true,false,false,4565,45.692099562664495,4.860745559328024,160
753,Diderot,C7,true,false,false,9018,45.71330245057979,4.809094227754559,178
46853,Diderot - Roland,C25,true,false,false,6637,45.69687254476619,4.928004251931347,172
46854,Diderot - Roland,C25,true,false,false,6638,45.69698247470115,4.927925415917383,172
10028,Diligences,77,false,false,false,3276,45.850171677631764,4.876974896976489,145
10029,Diligences,77,true,false,false,3277,45.85016704631594,4.876781466173348,145
39400,Division Leclerc,T4,true,false,false,663,45.69843922508953,4.868245717935836,160
39401,Division Leclerc,T4,true,false,false,664,45.69838253011533,4.868173360091636,160
761,Docteur Horand,19,true,false,false,1325,45.77084586178638,4.802118849602069,21
762,Docteur Rebatel,C16,true,false,false,1326,45.74989311568382,4.873571362491893,85
36234,Docteur Roux,80 & 81,true,false,false,4131,45.59782982039678,4.765796192457838,166
36235,Docteur Roux,80 & 81,true,false,false,4132,45.59810482582889,4.765579177421747,166
39922,Domer - Chevreul,C7,true,false,false,4553,45.746830758178724,4.844865021732383,84
11997,Domer - Garibaldi,C7,true,false,false,3179,45.747667543306335,4.851653452758642,84
47083,Domer - Garibaldi,C7,true,false,false,8868,45.747707390095655,4.850585958629182,84
46687,Domer - Trois Pierres,C7,true,false,false,5884,45.74716720688087,4.847261185237394,84
11759,Domremy - Lacassagne,25 & C13 & C16,true,false,false,3113,45.751233455794434,4.872780552786748,81
12230,Domremy - Lacassagne,25 & C13 & C16,true,false,false,3114,45.75123212283375,4.872907270464331,81
759,Dorothee Petit,15E,true,false,false,1323,45.66903272784674,4.816513034472194,162
760,Dorothee Petit,15E,false,false,false,1324,45.66879212249855,4.816810325685402,162
12051,Duchere Av.de Champagne,21 & 61 & S11,true,false,false,3207,45.79015602023968,4.797454047270093,21
42896,Duchere Av.de Champagne,21 & 61 & S11,true,false,false,3208,45.79066009695477,4.797141040219286,21
763,Duchere Balmont,115 & 118 & 21 & 61 & 66 & 89D & C14,true,false,false,1328,45.78908809986682,4.799792076945112,21
764,Duchere Balmont,115 & 118 & 21 & 61 & 66 & 89D & C14,true,false,false,1327,45.789428060422296,4.799070054435268,21
770,Duchere Capucines,66 & 89D & C14,true,false,false,1329,45.78940660749451,4.794291896787894,21
771,Duchere Capucines,66 & 89D & C14,true,false,false,1330,45.78943808465847,4.794219064035942,21
34237,Duchere Castilla,S11,true,false,false,3948,45.78883694002898,4.796466581364865,21
34238,Duchere Castilla,S11,true,false,false,3949,45.78898248890442,4.796807618208024,21
47565,Duchere Chateau,66 & C14,true,false,false,10179,45.78093114638178,4.794126062045031,21
772,Duchere Chateau,66 & C14 & S11,true,false,false,1331,45.7811341919332,4.793016049099289,21
30391,Duchere Chateau,S11,false,false,false,1333,45.780546136000886,4.793625800235632,21
34006,Duchere Lanessan,S11,false,false,false,1334,45.791447195885155,4.79729103404244,21
30389,Duchere Les Erables,66 & C14 & S11,true,false,false,3786,45.78267111293206,4.793683042026894,21
30390,Duchere Les Erables,66 & C14 & S11,true,false,false,3785,45.78260199051313,4.793872026467774,21
36894,Duchere Martiniere,66 & C14 & C6,true,false,false,1337,45.786328079128126,4.79578800713347,21
36895,Duchere Martiniere,66 & C14 & C6,true,false,false,1336,45.78638813344102,4.795519996803847,21
45797,Duchere Martiniere,S11,true,false,false,1335,45.786060058276945,4.795030068689481,21
45798,Duchere Martiniere,S11,true,false,false,1338,45.78610305019525,4.795122050548489,21
778,Duchere Piscine,66 & C14 & C6,true,false,false,1339,45.78761403562359,4.79990501732026,21
779,Duchere Piscine,66 & C14 & C6,true,false,false,1340,45.78707606722843,4.799481045705881,21
45844,Duchere Tunnel,C14,true,false,false,5031,45.78301612115048,4.797802129207496,21
47568,Duchere Tunnel,C14,true,false,false,10181,45.78337611885241,4.798223104199864,21
788,Duclos,111 & 112 & 39,true,false,false,1342,45.69765260899829,4.887534591367272,160
789,Duclos,111 & 112 & 39,true,false,false,1343,45.697363537125085,4.887785558504287,160
795,Dumas,69,true,false,false,10990,45.775631808702975,4.888302153753,159
796,Dumas,69 & C17,false,false,false,1344,45.776441686169115,4.887282830985214,159
41856,Dumas - Poudrette,C15,true,false,false,1346,45.75336118950677,4.920390898715775,171
41857,Dumas - Poudrette,C15,true,false,false,1347,45.753372841827385,4.920275718205088,171
801,Dumas - Salengro,52,false,false,false,1351,45.753500526035104,4.92879416659427,171
10501,Dumas - Salengro,52,false,false,false,10774,45.75358902354359,4.929074284646598,171
10502,Dumas - Salengro,68 & ZI5,false,false,false,9923,45.75276420013376,4.927936528177407,171
46000,Dumas - Salengro,68 & ZI5,false,false,false,1349,45.753137031549066,4.927925285120478,171
10243,Dupeuble,69,false,false,false,3352,45.775690843321875,4.890888188678637,159
10244,Dupeuble,69 & C17,false,false,false,10720,45.776152799509,4.892466427659957,159
30226,Dupeuble,C17,true,false,false,10722,45.77671958015011,4.892479903582593,159
30227,Dupeuble,C17,true,false,false,3354,45.77722478679161,4.89235119986378,159
10531,Dupuy,21,false,false,false,3476,45.802193503415225,4.777116575131704,180
10530,Dupuy,21 & GE4,true,false,false,3477,45.80225504320854,4.776918930113212,180
806,Duquesne - Foch,27 & C4,true,false,false,1353,45.77215241504223,4.843118935619056,86
805,Duquesne - Foch,27 & C6,true,false,false,1355,45.772491918023796,4.843636053777836,86
807,Duquesne - Foch,C4,true,false,false,1354,45.77293203744542,4.843057220007926,86
808,Duquesne - Foch,C6,true,false,false,10463,45.7725131438024,4.842685177776138,86
810,Duroc,C13 & C18,true,false,false,1358,45.76910115483228,4.817799159920281,80
36694,Duroc,C13 & C18,true,false,false,1357,45.768945292675774,4.818522421789807,80
36196,Dutartre,78 & 80,true,false,false,4091,45.6136696753436,4.798587407517115,167
36197,Dutartre,78 & 80,true,false,false,4090,45.61396973306365,4.798736240134841,167
39094,Eaux Vives,43,true,false,false,4518,45.83935642357774,4.828515561074676,182
39095,Eaux Vives,43,true,false,false,4519,45.83812422098716,4.829283878945813,182
47586,Echangeur du Perollier,10E & C6,true,false,false,10578,45.786607167630756,4.784099046743748,181
815,Echangeur du Perollier,19 & 89D & S15,true,false,false,1363,45.78786799152232,4.782720854343092,181
816,Echangeur du Perollier,19 & 89D & S15,true,false,false,1364,45.78740742405672,4.78279042915753,181
47585,Echangeur du Perollier,C6,true,false,false,10577,45.78663517304682,4.783829983300181,181
