properties/id;properties/nom;properties/desserte;properties/pmr;properties/ascenseur;properties/escalator;properties/gid;properties/last_update;properties/last_update_fme;geometry/type;geometry/coordinates/0;geometry/coordinates/1
125;Barolles Centre;12B:A,17B:R,78B:A,78B:R,C10A:R;true;false;false;876;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.68047073301589;4.786325029035998
128;Basso;84A:R,R2A:R;false;false;false;880;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.8247326287848;4.791558507673778
129;Basso;84A:A,R2A:A;false;false;false;879;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.82508687878047;4.791543559136175
130;Bastero - Aquarium;63A:A,8B:A,C10A:A,C7B:A;true;false;false;883;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72661749672259;4.814492403882964
131;Bastero - Aquarium;63A:R,C10A:R,C7B:R;true;false;false;884;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72549548398602;4.814045430595569
134;Bastero - Aquarium;17B:A,8B:R;true;false;false;881;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.72582215193589;4.813583848369907
140;Batterie;24A:R;true;false;false;10702;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74447560539888;4.915743877214211
142;Foch - Provinces;90B:A;true;false;false;890;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74729740218864;4.798505359710687
143;Foch - Provinces;90B:R;true;false;false;889;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74786536168096;4.798218348532387
146;Bechevelin;35A:A,35A:R;true;false;false;892;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74896916305785;4.838912910779881
147;Bechevelin;35A:R;true;false;false;891;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.750037088718024;4.840671517826235
148;Bellecombe;39A:A;true;false;false;893;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.648386576615216;4.845507366382116
159;Bellecour Chambonnet;27A:R,40A:A,C20D:A,C20E:A;false;false;false;899;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75896891053377;4.830443202589592
166;Bellecour Charite;15F:A;true;false;false;901;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.755900450392836;4.833235930650308
179;Bellegarde;40A:A,70A:A;true;false;false;911;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.871080340490344;4.839795880644507
180;Bellegarde;40A:R,70A:R;true;false;false;912;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.870755792885234;4.839733410821522
183;Benoit Bernard;35A:A,C12A:A;true;false;false;917;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73824892257555;4.852192942250558
185;Benoit Bernard;35A:R;true;false;false;915;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.7385036449315;4.852474536443439
187;Berjon - St Simon;5A:A,PL3A:A;false;false;false;918;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.77641914663403;4.797120386977416
190;Paul Berliet;C25B:R,T36:R;true;false;false;920;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.705136931811964;4.911935751191706
191;Berliet Venissieux;C25B:A;true;false;false;923;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.712837459352;4.899191422994022
192;Berliet Venissieux;C25B:R;true;false;false;922;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.71327141531064;4.8985135241465
195;Bernard Vallot;24A:A;true;false;false;927;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73378648223742;4.893121280828456
196;Bernard Vallot;24A:R;true;false;false;926;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.73343623823108;4.893836397636807
197;Berthaudiere;67A:R;true;false;false;10769;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.775524836226936;4.969655190500498
199;Berthier;17B:A,46A:A,49A:A,90B:A;true;false;false;10;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74511452669304;4.798716257005111
200;Berthier;90B:R;true;false;false;12;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.74604039225833;4.799035376988701
202;Bifurcation du Rosay;20A:A,23A:A,2A:A,71A:A;false;false;false;931;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.791409044327004;4.80870297478543
204;Bir Hakeim;C11A:A;true;false;false;9413;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75311652018818;4.855110015531393
205;Bir Hakeim;C11A:R;true;false;false;933;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.75310517661834;4.85450824378436
209;Bleriot;62A:A,87A:A;true;false;false;934;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.65915723657446;4.948900162359545
210;Bleriot;62A:R,87A:R;true;false;false;935;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.65891326762697;4.948939942886023
211;Bois de Dardilly;3A:A;true;false;false;937;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79874917958208;4.757004632232979
212;Bois de Dardilly;3A:A,3A:R;true;false;false;936;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.79791424791935;4.757739973127669
213;Bois de l'Etoile;98G:A;true;false;false;939;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78058048218251;4.725279670256587
214;Bois de l'Etoile;72C:R,98G:R;true;false;false;938;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.78064047724709;4.724574751940732
215;Bois de Parilly;26A:A,C15A:A,C17A:A;true;false;false;941;2022-02-07 01:31:23;2022-02-07 06:00:32;Point;45.725591781017066;4.913342547999986
